// Old Blue Box Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

IG_BlueBox,501,12	// 紅色藥水
IG_BlueBox,739,12	// 化妝品
IG_BlueBox,740,12	// 瘋兔娃娃
IG_BlueBox,741,12	// 波利娃娃
IG_BlueBox,742,12	// 蒼蠅娃娃
IG_BlueBox,743,12	// 魔菇娃娃
IG_BlueBox,744,12	// 花束
IG_BlueBox,745,12	// 捧花
IG_BlueBox,746,12	// 玻璃珠
IG_BlueBox,747,12	// 水晶鏡子
IG_BlueBox,748,12	// 永恒玫瑰
IG_BlueBox,749,12	// 冰雕玫瑰
IG_BlueBox,750,12	// 巴風特娃娃
IG_BlueBox,751,12	// 俄塞里斯娃娃
IG_BlueBox,752,12	// 搖滾蝗虫娃娃
IG_BlueBox,753,12	// 溜溜猴娃娃
IG_BlueBox,754,12	// 狸貓娃娃
IG_BlueBox,901,12	// 辮子
IG_BlueBox,902,12	// 樹根
IG_BlueBox,903,12	// 爬虫類舌頭
IG_BlueBox,904,12	// 蝎子尾巴
IG_BlueBox,905,12	// 植物梗
IG_BlueBox,906,12	// 鱗片梗
IG_BlueBox,907,12	// 枯木汁
IG_BlueBox,908,12	// 青蛙蛋
IG_BlueBox,909,12	// 杰勒比結晶
IG_BlueBox,910,12	// 加勒結晶
IG_BlueBox,911,12	// 雪勒結晶
IG_BlueBox,912,12	// 剎勒空結晶
IG_BlueBox,913,12	// 蝙蝠牙
IG_BlueBox,914,12	// 毛
IG_BlueBox,915,12	// 蛹殼
IG_BlueBox,916,12	// 羽毛
IG_BlueBox,917,12	// 鳥指甲
IG_BlueBox,918,12	// 粘糊的蹼
IG_BlueBox,919,12	// 動物外皮
IG_BlueBox,920,12	// 狼指甲
IG_BlueBox,921,12	// 香菇芽孢
IG_BlueBox,922,12	// 獸人犬齒
IG_BlueBox,923,12	// 惡魔角
IG_BlueBox,924,12	// 蝴蝶翅膀粉末
IG_BlueBox,925,12	// 鳥嘴
IG_BlueBox,926,12	// 蛇鱗
IG_BlueBox,928,12	// 昆虫触角
IG_BlueBox,929,12	// 不死心臟
IG_BlueBox,930,12	// 腐爛繃帶
IG_BlueBox,931,12	// 獸人戰士之証
IG_BlueBox,932,12	// 死人遺骨
IG_BlueBox,934,12	// 亡者遺物
IG_BlueBox,935,12	// 堅硬外殼
IG_BlueBox,936,12	// 鱗片皮膚
IG_BlueBox,937,12	// 毒牙
IG_BlueBox,938,12	// 粘稠液体
IG_BlueBox,939,12	// 蜂針
IG_BlueBox,940,12	// 蝗虫后腿
IG_BlueBox,941,12	// 牛鼻環
IG_BlueBox,942,12	// 猴子尾巴
IG_BlueBox,943,12	// 堅硬外皮
IG_BlueBox,944,12	// 馬蹄
IG_BlueBox,945,12	// 變身葉子
IG_BlueBox,946,12	// 蝸牛殼
IG_BlueBox,947,12	// 硬角
IG_BlueBox,948,12	// 熊掌
IG_BlueBox,949,12	// 柔毛
IG_BlueBox,950,12	// 人魚之心
IG_BlueBox,951,12	// 背鰭
IG_BlueBox,952,12	// 仙人掌刺
IG_BlueBox,953,12	// 石心
IG_BlueBox,954,12	// 發亮鱗片
IG_BlueBox,955,12	// 昆虫外殼
IG_BlueBox,956,12	// 鰓刺
IG_BlueBox,957,12	// 亡者指甲
IG_BlueBox,958,12	// 亡者牙齒
IG_BlueBox,959,12	// 腐爛鱗片
IG_BlueBox,960,12	// 鉗子
IG_BlueBox,961,12	// 海螺
IG_BlueBox,962,12	// 触須
IG_BlueBox,963,12	// 銳利麟片
IG_BlueBox,964,12	// 螃蟹外殼
IG_BlueBox,965,12	// 蛤蜊外殼
IG_BlueBox,966,12	// 蛤蜊肉
IG_BlueBox,967,12	// 烏龜外殼
IG_BlueBox,968,12	// 獸人英雄之証
IG_BlueBox,969,12	// 黃金
IG_BlueBox,971,12	// 帝特立米藥水
IG_BlueBox,972,12	// 卡勒波迪藥水
IG_BlueBox,973,12	// 中和劑
IG_BlueBox,974,12	// 混合劑
IG_BlueBox,975,12	// 紅色染料
IG_BlueBox,976,12	// 黃色染料
IG_BlueBox,978,12	// 藍色染料
IG_BlueBox,979,12	// 綠色染料
IG_BlueBox,980,12	// 赤色染料
IG_BlueBox,981,12	// 紫色染料
IG_BlueBox,982,12	// 白色染料
IG_BlueBox,983,12	// 黑色染料
IG_BlueBox,986,12	// 鐵砧
IG_BlueBox,987,12	// 神之金屬鐵砧
IG_BlueBox,988,12	// 黃金鐵砧
IG_BlueBox,989,12	// 華麗金屬鐵砧
IG_BlueBox,990,12	// 火靈礦石
IG_BlueBox,991,12	// 水靈礦石
IG_BlueBox,992,12	// 風靈礦石
IG_BlueBox,993,12	// 地靈礦石
IG_BlueBox,994,12	// 火靈原石
IG_BlueBox,995,12	// 水靈原石
IG_BlueBox,996,12	// 風靈原石
IG_BlueBox,997,12	// 土靈原石
IG_BlueBox,998,12	// 鐵
IG_BlueBox,999,12	// 鋼鐵
IG_BlueBox,1000,12	// 星星的角
IG_BlueBox,1001,12	// 星星的粉末
IG_BlueBox,1002,12	// 鐵礦石
IG_BlueBox,1003,12	// 煤礦
IG_BlueBox,1004,12	// 忠誠之証
IG_BlueBox,1005,12	// 高級鐵砧
IG_BlueBox,1006,12	// 古魔法書
IG_BlueBox,1007,12	// 慧眼
IG_BlueBox,1008,12	// 泯滅之心
IG_BlueBox,1009,12	// 神之手
IG_BlueBox,1010,12	// 強化武器金屬-級數一
IG_BlueBox,1011,12	// 強化武器金屬-級數二
IG_BlueBox,1012,12	// 傘蜥頸
IG_BlueBox,1013,12	// 彩色昆虫外殼
IG_BlueBox,1014,12	// 螞蟻下巴
IG_BlueBox,1015,12	// 細長舌頭
IG_BlueBox,1016,12	// 鼠尾
IG_BlueBox,1017,12	// 鼠須
IG_BlueBox,1018,12	// 鼠指甲
IG_BlueBox,1019,12	// 瑪哪樹枝
IG_BlueBox,1020,12	// 長發
IG_BlueBox,1021,12	// 土人之角
IG_BlueBox,1022,12	// 狐狸尾巴
IG_BlueBox,1023,12	// 魚尾
IG_BlueBox,1024,12	// 墨汁
IG_BlueBox,1025,12	// 蜘蛛絲
IG_BlueBox,1026,12	// 橡實
IG_BlueBox,1027,12	// 刺　尖刺
IG_BlueBox,1028,12	// 野豬毛
IG_BlueBox,1029,12	// 虎皮
IG_BlueBox,1031,12	// 螳螂臂
IG_BlueBox,1032,12	// 噬人樹花
IG_BlueBox,1033,12	// 噬人樹根
IG_BlueBox,1034,12	// 犬妖的毛
IG_BlueBox,1035,12	// 龍牙
IG_BlueBox,1036,12	// 龍鱗
IG_BlueBox,1037,12	// 龍尾
IG_BlueBox,1038,12	// 小惡魔角
IG_BlueBox,1039,12	// 小惡魔翅膀
IG_BlueBox,1040,12	// 老妖精胡須
IG_BlueBox,1041,12	// 手提燈
IG_BlueBox,1042,12	// 昆虫后腳
IG_BlueBox,1043,12	// 獸人指甲
IG_BlueBox,1044,12	// 茲諾克之牙
IG_BlueBox,1045,12	// 圣殿士面具
IG_BlueBox,1046,12	// 蝎子之鉗
IG_BlueBox,1047,12	// 蛇女之首
IG_BlueBox,1048,12	// 蛇發
IG_BlueBox,1049,12	// 韓服
IG_BlueBox,1050,12	// 血管
IG_BlueBox,1051,12	// 腦管
IG_BlueBox,1052,12	// 單細胞
IG_BlueBox,1053,12	// 人魚之牙
IG_BlueBox,1054,12	// 人魚嘴巴
IG_BlueBox,1055,12	// 蚯蚓皮
IG_BlueBox,1056,12	// 黃玉碎片
IG_BlueBox,1057,12	// 蛾蝶翅膀粉末
IG_BlueBox,1058,12	// 蛾蝶翅膀
IG_BlueBox,1059,12	// 透明之布
IG_BlueBox,1060,12	// 金色頭發
IG_BlueBox,1061,12	// 魔女之星沙
IG_BlueBox,1062,12	// 南瓜頭
IG_BlueBox,1063,12	// 銳利錐子
IG_BlueBox,1064,12	// 鞭繩
IG_BlueBox,1065,12	// 設置用陷阱道具
IG_BlueBox,1066,12	// 天地樹枝
IG_BlueBox,1067,12	// 智慧樹枝
IG_BlueBox,1068,12	// 世界樹枝
IG_BlueBox,1088,12	// 夢羅克水溶液試管
IG_BlueBox,1089,12	// 斐揚水溶液試管
IG_BlueBox,1092,12	// 空試管
IG_BlueBox,1093,12	// 空藥瓶
IG_BlueBox,1094,12	// 短辮子
IG_BlueBox,1095,12	// 指針
IG_BlueBox,1096,12	// 圓形外皮
IG_BlueBox,1097,12	// 破舊書頁
IG_BlueBox,1098,12	// 手銬
IG_BlueBox,1099,12	// 老舊犯人服
IG_BlueBox,1101,6	// 長劍
IG_BlueBox,1102,6	// 長劍
IG_BlueBox,1104,6	// 圓月刀
IG_BlueBox,1105,6	// 圓月刀
IG_BlueBox,1107,6	// 厚刃劍
IG_BlueBox,1108,6	// 厚刃劍
IG_BlueBox,1110,6	// 擊刺長劍
IG_BlueBox,1111,6	// 擊刺長劍
IG_BlueBox,1113,6	// 彎刀
IG_BlueBox,1114,6	// 彎刀
IG_BlueBox,1116,3	// 武士刀
IG_BlueBox,1117,3	// 武士刀
IG_BlueBox,1119,6	// 日本刀
IG_BlueBox,1120,6	// 日本刀
IG_BlueBox,1122,6	// 圓柄馬刀
IG_BlueBox,1123,6	// 海東劍
IG_BlueBox,1124,6	// 獸人刀
IG_BlueBox,1125,6	// 圓柄馬刀
IG_BlueBox,1126,6	// 騎兵之劍
IG_BlueBox,1127,6	// 騎兵之劍
IG_BlueBox,1128,6	// 海東劍
IG_BlueBox,1129,6	// 水紋之劍
IG_BlueBox,1146,1	// 湯恩劍
IG_BlueBox,1147,1	// 湯恩劍
IG_BlueBox,1148,1	// 星塵劍
IG_BlueBox,1151,3	// 雙手劍
IG_BlueBox,1152,3	// 雙手劍
IG_BlueBox,1154,3	// 亞爾特劍
IG_BlueBox,1155,3	// 亞爾特劍
IG_BlueBox,1157,3	// 雙手巨劍
IG_BlueBox,1158,3	// 雙手巨劍
IG_BlueBox,1160,3	// 雙手重劍
IG_BlueBox,1162,3	// 雙手重劍
IG_BlueBox,1163,3	// 十字巨劍
IG_BlueBox,1201,3	// 短劍
IG_BlueBox,1202,3	// 短劍
IG_BlueBox,1204,3	// 卡特短劍
IG_BlueBox,1205,3	// 卡特短劍
IG_BlueBox,1207,3	// 笨拙短劍
IG_BlueBox,1208,3	// 笨拙短劍
IG_BlueBox,1210,3	// 德克短劍
IG_BlueBox,1211,3	// 德克短劍
IG_BlueBox,1213,3	// 大駒短劍
IG_BlueBox,1214,3	// 大駒短劍
IG_BlueBox,1216,3	// 雙刃短劍
IG_BlueBox,1217,3	// 雙刃短劍
IG_BlueBox,1219,3	// 長柄短劍
IG_BlueBox,1220,3	// 長柄短劍
IG_BlueBox,1222,3	// 大馬士革短劍
IG_BlueBox,1226,3	// 大馬士革短劍
IG_BlueBox,1243,3	// 初學者笨拙短劍
IG_BlueBox,1245,1	// 五指劍
IG_BlueBox,1247,1	// 易燃短劍
IG_BlueBox,1248,1	// 黑曜石短劍
IG_BlueBox,1249,1	// 漁夫短劍
IG_BlueBox,1250,3	// 拳刃
IG_BlueBox,1251,3	// 拳刃
IG_BlueBox,1252,3	// 卡塔勒拳刃
IG_BlueBox,1253,3	// 卡塔勒拳刃
IG_BlueBox,1254,3	// 秘刃 暗嘯
IG_BlueBox,1255,3	// 秘刃 暗嘯
IG_BlueBox,1256,3	// 冰靈拳刃
IG_BlueBox,1257,3	// 刺藤拳刃
IG_BlueBox,1258,3	// 火靈拳刃
IG_BlueBox,1259,3	// 風靈拳刃
IG_BlueBox,1262,1	// 洛奇的指甲
IG_BlueBox,1263,1	// 邪惡拳刃
IG_BlueBox,1264,2	// 多變拳刃
IG_BlueBox,1265,1	// 血拳刃
IG_BlueBox,1269,1	// 龍之咆哮
IG_BlueBox,1271,1	// 血之淚
IG_BlueBox,1301,3	// 斧
IG_BlueBox,1302,3	// 斧
IG_BlueBox,1304,3	// 獸人斧
IG_BlueBox,1307,1	// 希爾之斧
IG_BlueBox,1351,3	// 巨斧
IG_BlueBox,1352,3	// 巨斧
IG_BlueBox,1354,3	// 鋼斧
IG_BlueBox,1355,3	// 鋼斧
IG_BlueBox,1357,3	// 毀滅之斧
IG_BlueBox,1358,3	// 毀滅之斧
IG_BlueBox,1360,3	// 雙手斧
IG_BlueBox,1361,3	// 雙手斧
IG_BlueBox,1370,1	// 超重雙手斧
IG_BlueBox,1376,1	// 碎心斧
IG_BlueBox,1377,1	// 狂怒 颶風
IG_BlueBox,1401,9	// 長戟
IG_BlueBox,1402,9	// 長戟
IG_BlueBox,1404,9	// 長矛
IG_BlueBox,1405,9	// 長矛
IG_BlueBox,1407,9	// 步兵長矛
IG_BlueBox,1408,9	// 步兵長矛
IG_BlueBox,1410,3	// 騎士長矛
IG_BlueBox,1411,3	// 騎士長矛
IG_BlueBox,1451,3	// 彎刃長矛
IG_BlueBox,1452,3	// 彎刃長矛
IG_BlueBox,1454,3	// 長槍
IG_BlueBox,1455,3	// 長槍
IG_BlueBox,1457,3	// 雙刃長戟
IG_BlueBox,1458,3	// 雙刃長戟
IG_BlueBox,1460,3	// 德瑞尹長戟
IG_BlueBox,1461,3	// 德瑞尹長戟
IG_BlueBox,1463,3	// 斧錘長矛
IG_BlueBox,1464,3	// 斧錘長矛
IG_BlueBox,1472,3	// 靈魂之杖
IG_BlueBox,1474,1	// 加野矛
IG_BlueBox,1478,1	// 錐騎長槍
IG_BlueBox,1501,6	// 木錘
IG_BlueBox,1502,6	// 木錘
IG_BlueBox,1504,6	// 鐵錘
IG_BlueBox,1505,6	// 鐵錘
IG_BlueBox,1507,6	// 思麥斯鐵錘
IG_BlueBox,1508,6	// 思麥斯鐵錘
IG_BlueBox,1510,6	// 流星錘
IG_BlueBox,1511,6	// 流星錘
IG_BlueBox,1513,6	// 日星錘
IG_BlueBox,1514,6	// 日星錘
IG_BlueBox,1516,6	// 尖刃鐵錘
IG_BlueBox,1517,6	// 尖刃鐵錘
IG_BlueBox,1519,6	// 鏈錘
IG_BlueBox,1520,6	// 鏈錘
IG_BlueBox,1522,6	// 昏迷之錘
IG_BlueBox,1550,3	// 書
IG_BlueBox,1551,3	// 圣言之書
IG_BlueBox,1552,3	// 智慧石碑
IG_BlueBox,1553,3	// 水靈之書
IG_BlueBox,1554,3	// 地靈之書
IG_BlueBox,1555,3	// 火靈之書
IG_BlueBox,1556,3	// 風靈之書
IG_BlueBox,1558,3	// 日記本
IG_BlueBox,1559,1	// 天龍的遺產
IG_BlueBox,1560,1	// 賢者的日記
IG_BlueBox,1561,1	// 精裝之書
IG_BlueBox,1601,3	// 手杖
IG_BlueBox,1602,3	// 手杖
IG_BlueBox,1604,3	// 橡木魔杖
IG_BlueBox,1605,3	// 橡木魔杖
IG_BlueBox,1607,3	// 智慧魔杖
IG_BlueBox,1608,3	// 智慧魔杖
IG_BlueBox,1610,3	// 言靈魔杖
IG_BlueBox,1611,3	// 言靈魔杖
IG_BlueBox,1613,3	// 巫杖 魂咬
IG_BlueBox,1614,3	// 圣杖 英靈
IG_BlueBox,1615,3	// 骷髏魔杖
IG_BlueBox,1616,1	// 羽翼之杖
IG_BlueBox,1617,1	// 生存的魔杖
IG_BlueBox,1618,1	// 生存的魔杖
IG_BlueBox,1619,1	// 高等生存的魔杖
IG_BlueBox,1620,1	// 高等生存的魔杖
IG_BlueBox,1621,1	// 催眠師的魔杖
IG_BlueBox,1622,1	// 催眠師的魔杖
IG_BlueBox,1701,3	// 弓
IG_BlueBox,1702,3	// 弓
IG_BlueBox,1704,3	// 坎普茲弓
IG_BlueBox,1705,3	// 坎普茲弓
IG_BlueBox,1707,3	// 克羅伊特弓
IG_BlueBox,1708,3	// 克羅伊特弓
IG_BlueBox,1710,3	// 十字弓
IG_BlueBox,1711,3	// 十字弓
IG_BlueBox,1713,3	// 埃布爾雷弓
IG_BlueBox,1714,3	// 角弓
IG_BlueBox,1715,3	// 埃布爾雷弓
IG_BlueBox,1716,3	// 角弓
IG_BlueBox,1718,3	// 獵人之弓
IG_BlueBox,1723,1	// 露娜弓
IG_BlueBox,1724,1	// 天龍之翼
IG_BlueBox,1730,1	// 灼熱之弓
IG_BlueBox,1731,1	// 冰霜之弓
IG_BlueBox,1732,1	// 大地之弓
IG_BlueBox,1733,1	// 颶風之弓
IG_BlueBox,1750,12	// 箭矢
IG_BlueBox,1751,12	// 銀箭矢
IG_BlueBox,1752,12	// 火箭矢
IG_BlueBox,1753,12	// 鋼鐵箭矢
IG_BlueBox,1754,12	// 水靈箭矢
IG_BlueBox,1755,12	// 風靈箭矢
IG_BlueBox,1756,12	// 地靈箭矢
IG_BlueBox,1757,12	// 無形箭矢
IG_BlueBox,1758,12	// 昏迷箭矢
IG_BlueBox,1759,12	// 冰凍箭矢
IG_BlueBox,1760,12	// 光芒箭矢
IG_BlueBox,1761,12	// 詛咒箭矢
IG_BlueBox,1762,12	// 鐵鏽箭矢
IG_BlueBox,1763,12	// 毒箭矢
IG_BlueBox,1764,12	// 銳利箭矢
IG_BlueBox,1765,12	// 神之金屬箭矢
IG_BlueBox,1767,12	// 影子箭矢
IG_BlueBox,1768,12	// 睡眠箭矢
IG_BlueBox,1769,12	// 宁靜箭矢
IG_BlueBox,1770,12	// 鐵箭矢
IG_BlueBox,1801,3	// 虎爪拳套
IG_BlueBox,1802,3	// 虎爪拳套
IG_BlueBox,1803,3	// 鋼鐵拳套
IG_BlueBox,1804,3	// 鋼鐵拳套
IG_BlueBox,1805,3	// 賀勒拳套
IG_BlueBox,1806,3	// 賀勒拳套
IG_BlueBox,1807,3	// 升龍拳套
IG_BlueBox,1808,3	// 升龍拳套
IG_BlueBox,1809,3	// 龍爪拳套
IG_BlueBox,1810,3	// 龍爪拳套
IG_BlueBox,1811,3	// 鷹爪拳套
IG_BlueBox,1812,3	// 鷹爪拳套
IG_BlueBox,1815,1	// 卡侖的指甲
IG_BlueBox,1818,1	// 灼熱拳套
IG_BlueBox,1819,1	// 冰晶拳套
IG_BlueBox,1820,1	// 雷霆拳套
IG_BlueBox,1821,1	// 大地拳套
IG_BlueBox,1822,1	// 連擊拳套
IG_BlueBox,1901,3	// 小提琴
IG_BlueBox,1902,3	// 小提琴
IG_BlueBox,1903,3	// 曼陀林
IG_BlueBox,1904,3	// 曼陀林
IG_BlueBox,1905,3	// 魯特琴
IG_BlueBox,1906,3	// 魯特琴
IG_BlueBox,1907,3	// 吉他
IG_BlueBox,1908,3	// 吉他
IG_BlueBox,1909,3	// 豎琴
IG_BlueBox,1910,3	// 豎琴
IG_BlueBox,1911,3	// 焚鶴琴
IG_BlueBox,1912,3	// 焚鶴琴
IG_BlueBox,1914,1	// 熱情的吉他
IG_BlueBox,1915,1	// 孤獨的吉他
IG_BlueBox,1916,1	// 大地的吉他
IG_BlueBox,1917,1	// 涼風的吉他
IG_BlueBox,1918,1	// 琵琶
IG_BlueBox,1919,1	// 貝斯
IG_BlueBox,1950,3	// 鞭子
IG_BlueBox,1951,3	// 鞭子
IG_BlueBox,1952,3	// 細長鞭子
IG_BlueBox,1953,3	// 細長鞭子
IG_BlueBox,1954,3	// 鋼鐵鞭子
IG_BlueBox,1955,3	// 鋼鐵鞭子
IG_BlueBox,1956,3	// 流星鞭子
IG_BlueBox,1957,3	// 流星鞭子
IG_BlueBox,1958,3	// 幸運鞭子
IG_BlueBox,1959,3	// 幸運鞭子
IG_BlueBox,1960,3	// 瑪哪鞭子
IG_BlueBox,1961,3	// 瑪哪鞭子
IG_BlueBox,1965,1	// 火焰鞭子
IG_BlueBox,1966,1	// 冰劍鞭子
IG_BlueBox,1967,1	// 大地鞭子
IG_BlueBox,1968,1	// 跳繩
IG_BlueBox,1969,1	// 利刃之鞭
IG_BlueBox,1970,1	// 女王的鞭子
IG_BlueBox,1971,1	// 電線
IG_BlueBox,1972,1	// 電鰻
IG_BlueBox,1973,1	// 海魔女之足
IG_BlueBox,1974,1	// 胡蘿卜鞭子
IG_BlueBox,2101,3	// 鐵盾
IG_BlueBox,2102,3	// 鐵盾
IG_BlueBox,2103,3	// 圓盾
IG_BlueBox,2104,3	// 圓盾
IG_BlueBox,2105,3	// 鋼盾
IG_BlueBox,2106,3	// 鋼盾
IG_BlueBox,2107,3	// 鏡盾
IG_BlueBox,2108,3	// 鏡盾
IG_BlueBox,2109,3	// 謊言紀錄本
IG_BlueBox,2112,3	// 初學者鐵盾
IG_BlueBox,2113,1	// 初學者鋼盾
IG_BlueBox,2123,1	// 奧爾里昂的鐵盤
IG_BlueBox,2124,1	// 刺盾
IG_BlueBox,2125,1	// 堅固盾牌
IG_BlueBox,2201,3	// 太陽眼鏡
IG_BlueBox,2203,3	// 眼鏡
IG_BlueBox,2205,3	// 泳鏡
IG_BlueBox,2206,3	// 婚禮頭紗
IG_BlueBox,2207,3	// 花朵頭飾
IG_BlueBox,2208,3	// 紫蝶發帶
IG_BlueBox,2209,3	// 紫蝶發帶
IG_BlueBox,2210,3	// 發箍
IG_BlueBox,2211,3	// 方頭巾
IG_BlueBox,2212,3	// 獨眼龍眼罩
IG_BlueBox,2213,3	// 貓耳發圈
IG_BlueBox,2214,3	// 兔耳發圈
IG_BlueBox,2215,3	// 花發圈
IG_BlueBox,2216,3	// 圣職之帽
IG_BlueBox,2217,3	// 圣職之帽
IG_BlueBox,2218,3	// 口罩
IG_BlueBox,2220,3	// 漁夫帽
IG_BlueBox,2221,3	// 漁夫帽
IG_BlueBox,2222,3	// 圓帽
IG_BlueBox,2223,3	// 圓帽
IG_BlueBox,2224,3	// 防風皮革眼鏡
IG_BlueBox,2225,3	// 防風皮革眼鏡
IG_BlueBox,2226,3	// 無邊帽
IG_BlueBox,2227,3	// 無邊帽
IG_BlueBox,2228,3	// 金屬頭盔
